Name,Goal,Asist,Total Point,Currently Playing,nation,Source
Tomás Rincón,0,0,0,Juventus,Venezuela ,http://www.espnfc.co.uk/player/131245/tomas-rincon
Lewis Baker,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/40192/lewis-baker
Fabrizio Caligara,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/259938/fabrizio-caligara
Leonardo Merio,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/264766/leonardo-merio
Rodrigo Bentancur,0,0,0,Juventus,Uruguay ,http://www.espnfc.co.uk/player/215772/rodrigo-bentancur
Jeremie Boga,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/206153/jeremie-boga
Mario Lemina,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/181729/mario-lemina
Rolando Mandragora,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/210392/rolando-mandragora
Ferdinando Del Sole,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/241731/ferdinando-del-sole
Kiko Casilla,0,0,0,Real Madrid,Spain ,http://www.espnfc.co.uk/player/87703/kiko-casilla
Simone Muratore,0,0,0,Juventus,Unknown,http://www.espnfc.co.uk/player/252084/simone-muratore
Ethan Ampadu,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/241317/ethan-ampadu
Ross Barkley,0,0,0,Chelsea,England ,http://www.espnfc.co.uk/player/152469/ross-barkley
Diego Benaglio,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/114898/diego-benaglio
Loic Badiashile,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/227310/loic-badiashile
Danijel Subasic,0,0,0,AS Monaco,Croatia ,http://www.espnfc.co.uk/player/127704/danijel-subasic
Seydou Sy,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/206759/seydou-sy
Julien Serrano,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/260224/julien-serrano
Angel Gomes,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/256773/angel-gomes
Moha Ramos,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/266946/moha-ramos
Demetri Mitchell,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/194113/demetri-mitchell
Terence Kongolo,0,0,0,AS Monaco,Netherlands ,http://www.espnfc.co.uk/player/159244/terence-kongolo
Callum Hudson-Odoi,0,0,0,Chelsea,Unknown,http://www.espnfc.co.uk/player/261419/callum-hudson-odoi
Pierre-Daniel Nguinda,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/241666/pierre-daniel-nguinda
Arda Turan,0,0,0,Barcelona,Turkey ,http://www.espnfc.co.uk/player/86565/arda-turan
Matt Macey,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/214199/matt-macey
Deyan Iliev,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/214454/deyan-iliev
Pietro Pellegri,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/251141/pietro-pellegri
Petr Cech,0,0,0,Arsenal,Czech Republic ,http://www.espnfc.co.uk/player/13069/petr-cech
David Ospina,0,0,0,Arsenal,Colombia ,http://www.espnfc.co.uk/player/121842/david-ospina
Emiliano Martinez,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/158626/emiliano-martinez
Jordi Mboula,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/259021/jordi-mboula
Konstantinos Mavropanos,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/242705/konstantinos-mavropanos
Michael Carrick,0,0,0,Manchester United,England ,http://www.espnfc.co.uk/player/7971/michael-carrick
Jordi Osei-Tutu,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/267300/jordi-osei-tutu
Sergi Samper,0,0,0,Barcelona,Unknown,http://www.espnfc.co.uk/player/185223/sergi-samper
Romain Faivre,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/268591/romain-faivre
Moussa Sylla,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/40791/moussa-sylla
Victor Lindelöf,0,0,0,Manchester United,Unknown,http://www.espnfc.co.uk/player/204679/victor-lindelof
Gabriel Boschilia,0,0,0,AS Monaco,Brazil ,http://www.espnfc.co.uk/player/194924/gabriel-boschilia
Franchu,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/259840/franchu
Cohen Bramall,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/259479/cohen-bramall
Gil Dias,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/229573/gil-dias
Arijanet Muric,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/259838/arijanet-muric
Allan Saint-Maximin,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/193281/allan-saint-maximin
Souahilo Meité,0,0,0,AS Monaco,Unknown,http://www.espnfc.co.uk/player/164167/souahilo-meite
Ederson,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/176948/ederson
Florian Escales,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/227304/florian-escales
Steve Mandanda,0,0,0,Marseille,France ,http://www.espnfc.co.uk/player/89018/steve-mandanda
Yohann Pele,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/85055/yohann-pele
Rubén Yáñez,0,0,0,Real Madrid,Spain ,http://www.espnfc.co.uk/player/192718/ruben-yanez
Christopher Rocchia,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/268799/christopher-rocchia
Tomas Hubocan,0,0,0,Marseille,Slovakia ,http://www.espnfc.co.uk/player/112935/tomas-hubocan
Patrice Evra,0,0,0,Marseille,France ,http://www.espnfc.co.uk/player/21931/patrice-evra
Krystian Bielik,0,0,0,Arsenal,Poland ,http://www.espnfc.co.uk/player/212257/krystian-bielik
Henri Bedimo,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/121990/henri-bedimo
Boubacar Kamara,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/250936/boubacar-kamara
Doria,0,0,0,Marseille,Brazil ,http://www.espnfc.co.uk/player/173630/doria
Rolando,0,0,0,Marseille,Cape Verde Islands ,http://www.espnfc.co.uk/player/124065/rolando
Danny Ward,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/17861/danny-ward
Loris Karius,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/165764/loris-karius
Kamil Grabara,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/259474/kamil-grabara
Yusuf Sari,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/262947/yusuf-sari
Donyell Malen,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/259481/donyell-malen
Simon Mignolet,0,0,0,Liverpool,Belgium ,http://www.espnfc.co.uk/player/99829/simon-mignolet
Connor Randall,0,0,0,Liverpool,Unknown,http://www.espnfc.co.uk/player/215479/connor-randall
Jeff Reine-Adelaide,0,0,0,Arsenal,France ,http://www.espnfc.co.uk/player/218627/jeff-reine-adelaide
Chuba Akpom,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/181092/chuba-akpom
Joel Latibeaudiere,0,0,0,Manchester City,Unknown,http://www.espnfc.co.uk/player/260168/joel-latibeaudiere
Josh Da Silva,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/246309/josh-da-silva
André Zambo Anguissa,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/215721/andre-zambo-anguissa
Gregory Sertic,0,0,0,Marseille,Unknown,http://www.espnfc.co.uk/player/127360/gregory-sertic
Jaime Seoane,0,0,0,Real Madrid,Unknown,http://www.espnfc.co.uk/player/268555/jaime-seoane
Marcus McGuane,0,0,0,Arsenal,Unknown,http://www.espnfc.co.uk/player/231169/marcus-mcguane
