Name,Goal,Asist,Total Point,Currently Playing,nation,Source
César Azpilicueta,2,6,8,Chelsea,Spain ,http://www.espnfc.co.uk/player/97770/cesar-azpilicueta
Islam Slimani,6,2,8,Leicester City,Unknown,http://www.espnfc.co.uk/player/173504/islam-slimani
Arturo Vidal,6,2,8,Bayern Munich,Chile ,http://www.espnfc.co.uk/player/102198/arturo-vidal
Fabinho,5,3,8,AS Monaco,Unknown,http://www.espnfc.co.uk/player/176287/fabinho
Marc Albrighton,2,6,8,Leicester City,England ,http://www.espnfc.co.uk/player/132107/marc-albrighton
Diego Costa,5,3,8,Atletico Madrid,Brazil ,http://www.espnfc.co.uk/player/95410/diego-costa
Fernando Torres,6,2,8,Atletico Madrid,Spain ,http://www.espnfc.co.uk/player/24257/fernando-torres
Layvin Kurzawa,5,3,8,Paris Saint-Germain ,France ,http://www.espnfc.us/player/152582/layvin-kurzawa
Kelechi Iheanacho,5,3,8,Manchester City,Nigeria ,http://www.espnfc.co.uk/player/39902/kelechi-iheanacho
Javier Pastore,6,2,8,Paris Saint-Germain ,Argentina ,http://www.espnfc.us/player/102829/javier-pastore
Theo Walcott,6,2,8,Arsenal,England ,http://www.espnfc.co.uk/player/67507/theo-walcott
Emre Can,4,4,8,Liverpool,Germany ,http://www.espnfc.co.uk/player/159142/emre-can
Ben Davies,2,6,8,Tottenham Hotspur,England ,http://www.espnfc.co.uk/player/6327/ben-davies
Sergi Roberto,1,7,8,Barcelona,Spain ,http://www.espnfc.co.uk/player/150225/sergi-roberto
Stevan Jovetic,6,1,7,AS Monaco,Unknown,http://www.espnfc.co.uk/player/119612/stevan-jovetic
Nacho Monreal,5,2,7,Arsenal,Spain ,http://www.espnfc.co.uk/player/85361/nacho-monreal
Kyle Walker,0,7,7,Manchester City,England ,http://www.espnfc.co.uk/player/129358/kyle-walker
Kamil Glik,4,3,7,AS Monaco,Unknown,http://www.espnfc.co.uk/player/144288/kamil-glik
João Moutinho,1,6,7,AS Monaco,Portugal ,http://www.espnfc.co.uk/player/50959/joao-moutinho
Danny Welbeck,5,2,7,Arsenal,England ,http://www.espnfc.co.uk/player/115271/danny-welbeck
Koke,3,4,7,Atletico Madrid,Spain ,http://www.espnfc.co.uk/player/140791/koke
Saúl Ñíguez,4,3,7,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/172269/saul-niguez
Granit Xhaka,2,5,7,Arsenal,Switzerland ,http://www.espnfc.co.uk/player/149981/granit-xhaka
Harry Maguire,3,4,7,Leicester City,England ,http://www.espnfc.co.uk/player/157073/harry-maguire
Gerard Deulofeu,3,4,7,Barcelona,Unknown,http://www.espnfc.co.uk/player/156615/gerard-deulofeu
Fernando Llorente,5,1,6,Tottenham Hotspur,Spain ,http://www.espnfc.co.uk/player/46912/fernando-llorente
Marouane Fellaini,6,0,6,Manchester United,Belgium ,http://www.espnfc.co.uk/player/84535/marouane-fellaini
Adama Diakhaby,3,3,6,AS Monaco,Unknown,http://www.espnfc.co.uk/player/241658/adama-diakhaby
Nicolás Otamendi,6,0,6,Manchester City,Argentina ,http://www.espnfc.co.uk/player/119289/nicolas-otamendi
Sime Vrsaljko,0,6,6,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/152412/sime-vrsaljko
Fernandinho,3,3,6,Manchester City,"Londrina, Brazil ",http://www.espnfc.co.uk/player/178486/fernandinho
Jérôme Boateng,2,4,6,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/95290/jerome-boateng
Sergio Busquets,2,4,6,Barcelona,Spain ,http://www.espnfc.co.uk/player/121893/sergio-busquets
Tiemoué Bakayoko,3,3,6,Chelsea,Unknown,http://www.espnfc.co.uk/player/192550/tiemoue-bakayoko
Ashley Young,2,4,6,Manchester United,England ,http://www.espnfc.co.uk/player/31810/ashley-young
Moussa Sissoko,2,4,6,Tottenham Hotspur,France ,http://www.espnfc.co.uk/player/104658/moussa-sissoko
Andreas Pereira,1,5,6,Manchester United,Unknown,http://www.espnfc.co.uk/player/210143/andreas-pereira
Daniel Sturridge,3,3,6,Liverpool,England ,http://www.espnfc.co.uk/player/85291/daniel-sturridge
Luiz Gustavo,5,1,6,Marseille,Brazil ,http://www.espnfc.co.uk/player/113352/luiz-gustavo
Thomas,5,1,6,Atletico Madrid,Ghana ,http://www.espnfc.co.uk/player/189972/thomas
Demarai Gray,4,1,5,Leicester City,Unknown,http://www.espnfc.co.uk/player/194403/demarai-gray
Geoffrey Kondogbia,4,1,5,Valencia,France ,http://www.espnfc.co.uk/player/152270/geoffrey-kondogbia
Carlos Soler,1,4,5,Valencia,Unknown,http://www.espnfc.co.uk/player/235072/carlos-soler
